"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"проверка товара","2","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.CartTest","Surefire test","tests.CartTest","test"
"","0","login","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1","checkSuccessLogin","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","0","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.LocatorTest","Surefire test","tests.LocatorTest","setup"
"","1","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.CheckOutTest","Surefire test","tests.CheckOutTest","test"
"","0","test2","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test2"
"","1","checkLoginWithWrongPassword","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","1","test1","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test1"
"","0","test3","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test3"
"","1","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.CheckOutTest","Surefire test","tests.CheckOutTest","setup"
"","2","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.CartTest","Surefire test","tests.CartTest","setup"
"","0","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","test"
"","7","test","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test"
"","1","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LocatorTest","Surefire test","tests.LocatorTest","test"
"","1","checkLoginWithEmptyPassword","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","2","login","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","0","test4","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test4"
"","0","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","0","test5","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test5"
